PMID	Gene Name	Gene Type	Cell Name	Cell Type	Tissue Type	Experiment Type	Experimental Method	Title	Function	GeneNameText	id	Interacting Gene	CellOntologyID	Marker Type	Disease Name
7550312	GATA1	TFMarker	Stem cell	Normal cell	Liver	low-throughput	Weston blot;Microscopic observation;Southern blot;Histological analysis	Targeted disruption of the GATA3 gene causes severe abnormalities in the nervous system and in fetal liver haematopoiesis	Transcription factors GATA1, GATA2 and GATA3 are expressed in embryonic stem cells and can affect the hematopoietic function of fetal liver.		19	GATA2;GATA3	CL_0000034	Cell Marker
7550312	GATA2	TFMarker	Stem cell	Normal cell	Liver	low-throughput	Weston blot;Microscopic observation;Southern blot;Histological analysis	Targeted disruption of the GATA3 gene causes severe abnormalities in the nervous system and in fetal liver haematopoiesis	Transcription factors GATA1, GATA2 and GATA3 are expressed in embryonic stem cells and can affect the hematopoietic function of fetal liver.		20	GATA1;GATA3	CL_0000034	Cell Marker
7550312	GATA3	TFMarker	Stem cell	Normal cell	Liver	low-throughput	Weston blot;Microscopic observation;Southern blot;Histological analysis	Targeted disruption of the GATA3 gene causes severe abnormalities in the nervous system and in fetal liver haematopoiesis	Transcription factors GATA1, GATA2 and GATA3 are expressed in embryonic stem cells and can affect the hematopoietic function of fetal liver.		21	GATA2;GATA1	CL_0000034	Cell Marker
20005391	GATA3	TFMarker	T cell	Normal cell	Lung	low-throughput	RT-PCR;Immunofluorescent staining	Increased  T-bet to GATA-3 ratio during acute allograft rejection in the rat Lung	GATA3 and T-BET regulate the expression of T cells in the lung and are also markers of T cells		25	IL2;IL4	CL_0000084	Cell Marker
20005391	TBX21	TFMarker	T cell	Normal cell	Lung	low-throughput	RT-PCR;Immunofluorescent staining	Increased  T-bet to GATA-3 ratio during acute allograft rejection in the rat Lung	GATA3 and T-BET regulate the expression of T cells in the lung and are also markers of T cells		26	IL2;IL4	CL_0000084	Cell Marker
30691826	RUNX2	TFMarker	Interstitial cell	Normal cell	Artery	low-throughput	Western blot;Immunoblotting	MMP-12eInduced Pro-osteogenic Responses in Human Aortic Valve Interstitial Cells	Runt-associated transcription factor 2 (RUNX-2), bone morphogenetic protein 2 (BMP-2), and alkaline phosphatase (ALP) are markers of osteogenic responses in human aortic valve interstitial cells (AVICS)		28	MMP12;BMP2;ALPL	CL_0000178	Disease Marker	Background: Calcific aortic valve disease
30691826	BMP2	TFMarker	Interstitial cell	Normal cell	Artery	low-throughput	Western blot;Immunoblotting	MMP-12eInduced Pro-osteogenic Responses in Human Aortic Valve Interstitial Cells	Runt-associated transcription factor 2 (RUNX-2), bone morphogenetic protein 2 (BMP-2), and alkaline phosphatase (ALP) are markers of osteogenic responses in human aortic valve interstitial cells (AVICS)		29	MMP12;ALPL;RUNX2	CL_0000178	Disease Marker	Background: Calcific aortic valve disease
31621975	POU5F1	TFMarker	Dendritic cell	Normal cell	Bone marrow	low-throughput	Flow cytometry	iPS Cells Reprogrammed from Primary Dendritic Cells Provide an Abundant Source of Immunostimulatory Dendritic Cells for Use in Immunotherapy	Transcriptional factors OCT4、SOX2、KLF4 and c-MYC reprogram immature and terminally differentiated dendritic cells into induced pluripotent stem cells (IPSCs)		30	MYC;KLF4;POU5F1;SOX2	CL_0000451	Cell Marker
31621975	SOX2	TFMarker	Dendritic cell	Normal cell	Bone marrow	low-throughput	Flow cytometry	iPS Cells Reprogrammed from Primary Dendritic Cells Provide an Abundant Source of Immunostimulatory Dendritic Cells for Use in Immunotherapy	Transcriptional factors OCT4、SOX2、KLF4 and c-MYC reprogram immature and terminally differentiated dendritic cells into induced pluripotent stem cells (IPSCs)		31	MYC;KLF4;POU5F1;SOX2	CL_0000451	Cell Marker
31621975	KLF4	TFMarker	Dendritic cell	Normal cell	Bone marrow	low-throughput	Flow cytometry	iPS Cells Reprogrammed from Primary Dendritic Cells Provide an Abundant Source of Immunostimulatory Dendritic Cells for Use in Immunotherapy	Transcriptional factors OCT4、SOX2、KLF4 and c-MYC reprogram immature and terminally differentiated dendritic cells into induced pluripotent stem cells (IPSCs)		32	MYC;KLF4;POU5F1;SOX2	CL_0000451	Cell Marker
